id,image1Text,image2Text,image3Text
ga780619,"Hi, there...I'm Jon Arbuckle. I'm a cartoonist, and this is my cat, Garfield.","Hi, there. I'm Garfield. I'm a cat, and this is my cartoonist, Jon.",Our only thought is to entertain you. Feed me.
ga780620,"Happy birthday, Garfield. I have a surprise for you.",A rubber mousey!,Could've used a little salt...
ga780621,A MOUSE! GET IT!,Garfield! You didn't even try!,"Show me a good mouser, and I'll show you a cat with bad breath."
ga780622,"I'm putting you on a diet, Garfield...here's your dinner.",WHA...,
ga780623,,Ahhhhh...,Happiness is a warm television set.
ga780624,SLAP!,,"Don't be cruel, Garfield. Put the catburger out of its misery and eat it."
ga780626,We cats like to sit in high places. It reinforces our superiority.,,Help.
ga780627,,,"Garfield, you dummy."
ga780628,"Here, Garfield, ...beg.",EEYOUCH!!,Groveling is not one of my strong suits.
ga780629,"You can't drink coffee, Garfield. You'll stunt your, uh, your...",,One lump or two?
ga780630,"All I ever do is eat and sleep, eat and sleep, eat and sleep.",There must be more to a cat's life than that.,"But, I hope not."
ga780703,,PURRR,I hate static electricity.
ga780704,I really shouldn't eat that fish...,,Call it an ethnic weakness.
ga780705,itch scratch scratch,scratch! scratch! scratch! scratch! itch scratch! scratch! scratch! scratch!,AARRRGH!
ga780706,SNIFF!,Cat food...,The bouquet leaves something to be desired.
ga780710,Hmmmm...a new sofa.,,Much better.
ga780711,I'm getting lazy. It would do me good to get some exercise.,YAWN,Much better.
ga780712,Love a cookout.,,Mind if I smoke?
ga780713,I'm going to take an active part in energy conservation.,"Get on your mark, get set...",Conserve.
ga780715,"I'm just your average, ordinary cat...","For instance, I'm crazy about nature's most perfect food...",LASAGNA!
ga780717,This is the life. I don't think I'll ever get out of bed again.,,I'm hungry.
ga780719,"Ah, here comes the mailman.",,Why should dogs have all the fun?
ga780720,"Oh boy, oh boy, today is thursday and that's Lasagna Day.",CAT FOOD!,
ga780722,YAWN,CRICK!,"Hello, doctor? ...my cat's stuck in a stretch."
ga780724,SLURP MUNCH SMACK,"Garfield, you're a fat, arrogant, lazy pig.","Well, excuuuuuuse me!"
ga780725,,,"Garfield, cut that out!"
ga780726,SQUIRT!,chunk chunk chunk chunk chunk chunk chunk chunk,"Garfield, you should really learn to control your temper."
ga780727,,Now where could my pipe be?,GARFIELD!!
ga780801,scratch scratch scratch scratch,Oops. I got a scratch on Jon's favorite chair.,Maybe he won't notice.
ga780802,One last olive.,,clunk clunk clunk
ga780803,,SSSSSS,"One word about curiosity killing the cat, and I'll break your face."
ga780805,,,Never trust a smiling cat.
ga780808,"Is that all you have, the one suitcase? Not exactly.",HERE BOY!,"Oh, lawsey, lawsey, lawsey."
ga780810,What's your dog's name? Odie.,Odie...a dog named Odie...,A blimp named Hindenburg...a ship named Titanic...a car named Edsel. A fresh...
ga780811,,CRASH!,"Ten billion dogs in this world, and I get Tweedledee, the wonder dummy."
ga780812,WOOF!,BARK!,YIP! YIP! YIP! YIP!
ga780815,Odie! Look what you did on the floor!,yip! yip! yip! NO! NO! NO! NO! NO! NO! whap! whap! whap!,"They should've named him ""Spot""."
ga780816,"Lyman, you gotta housebreak Odie. How?",Swat him with something. With what?,
ga780817,,pat pat pat pat,
ga780818,I think I'll put that dog's lights out.,,scratch scratch scratch scratch scratch scratch
ga780819,,THOCK!,New dance? Bad aim.
ga780821,"Heh, heh, heh. splash splash splash",Cats just love to play with water.,Whew! I thought I'd never find Jon's watch.
ga780822,dab dab dab dab,SPLASH! SPLASH! SPLASH! SPLASH! SPLASH!,MY CHICKEN SOUP! The devil made me do it.
ga780823,"Hey, Jon! What do you think of my new outfit?",,Does Garfield always shed like that? Only on white disco suits.
ga780824,munch munch munch,PUNT,Gotta keep my strength up.
ga780825,,,
ga780826,,SPLOOCH!,"Help yourself to the lasagna, Garfield."
ga780828,"Garfield, as of this minute, I'm putting you on a diet.",Garfield?,I think I snapped his mind.
ga780830,So I'm on a diet...big deal.,"You know what a ""diet"" is, don't you?","IT'S ""DIE"" WITH A ""T,"" THAT'S WHAT IT IS!"
ga780831,A diet. Jon has me on a diet.,POOMP!!,"When the lasagna content in my blood gets low, I get mean."
ga780901,,Wax!,Everything tastes good when you're on a diet.
ga780902,"Let's see see how well you've done o your diet this week, Garfield.",Now where's the bathroom scale?,I'm sitting on it.
ga780904,"Labor day, shmabor day. What a dumb day.","To hire some jerk, then send him away...",To celebrate work by playing all day.
ga780905,,,
ga780906,,,
ga780908,And that's all for mystery theater. ...good night.,CLICK!,CLICK! GARFIELD! CUT THAT OUT!
ga780909,"What're you doing tonight, Lyman? I'm gonna catch the new flick down at the bijou.","It's about this kid who puts a tack in his teacher's chair, and she sits on it.",Not much of a plot. I suppose not. But I still enjoy the movies where the
ga780911,,,*@$*!! Leg cramps.
ga780913,purrrr,PURRR!,"Have some lasagna, Garfield... purrr"
